City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,carnarvon,-24.8667,113.6333,82.67,63,13,9.53,AU,1675563647
84,doha,25.2867,51.5333,60.78,67,0,12.66,QA,1675563812
85,cockburn town,21.4612,-71.1419,77.68,74,1,21.94,TC,1675563837
86,new norfolk,-42.7826,147.0587,75.7,42,0,4.0,AU,1675563837
87,dingle,10.9995,122.6711,81.79,73,36,12.3,PH,1675563838
88,broken hill,-31.95,141.4333,73.44,34,0,6.69,AU,1675563838
89,pevek,69.7008,170.3133,-34.89,100,38,3.44,RU,1675563839
90,richards bay,-28.783,32.0377,70.38,91,6,3.53,ZA,1675563839
91,avarua,-21.2078,-159.775,84.25,79,40,18.41,CK,1675563713
92,coos bay,43.3665,-124.2179,51.93,93,0,3.44,US,1675563840
93,savannah bight,16.45,-85.85,79.16,69,0,12.53,HN,1675563841
94,tuktoyaktuk,69.4541,-133.0374,-45.4,66,0,2.3,CA,1675563841
95,norman wells,65.282,-126.8329,-14.76,70,75,3.44,CA,1675563842
96,cidreira,-30.1811,-50.2056,71.31,76,4,4.47,BR,1675563843
97,bulgan,48.8125,103.5347,0.25,88,55,2.57,MN,1675563843
98,rio grande,-32.035,-52.0986,69.71,71,4,12.97,BR,1675563844
99,tutoia,-2.7619,-42.2744,79.41,86,43,11.61,BR,1675563845
100,teguise,29.0605,-13.564,52.02,76,20,9.22,ES,1675563845
101,talcahuano,-36.7167,-73.1167,60.48,88,100,3.44,CL,1675563846
102,ancona,43.55,13.1667,43.38,58,20,4.61,IT,1675563847
103,launceston,-41.45,147.1667,75.61,44,0,5.75,AU,1675563602
104,talavera,15.6167,120.9333,82.76,52,61,5.57,PH,1675563850
105,vao,-22.6667,167.4833,79.72,87,100,21.21,NC,1675563851
106,hearst,49.6835,-83.6665,7.05,96,100,4.41,CA,1675563653
107,sterling,39.0062,-77.4286,31.41,39,40,9.22,US,1675563595
108,evensk,61.95,159.2333,-0.54,81,100,7.29,RU,1675563852
109,riyadh,24.6877,46.7219,51.94,63,2,3.87,SA,1675563652
110,saldanha,-33.0117,17.9442,66.25,97,100,13.15,ZA,1675563854
111,glens falls,43.3095,-73.644,9.14,55,100,3.44,US,1675563611
112,anadyr,64.75,177.4833,-21.5,69,0,8.95,RU,1675563855
113,hit,33.6416,42.8251,49.91,65,1,9.42,IQ,1675563856
114,kabugao,18.0217,121.1842,79.3,64,3,3.78,PH,1675563857
115,petropavlovsk-kamchatskiy,53.0452,158.6483,14.59,57,75,4.47,RU,1675563858
116,kodiak,57.79,-152.4072,33.31,80,100,0.0,US,1675563859
117,rawson,-43.3002,-65.1023,79.34,37,89,22.77,AR,1675563860
118,baykit,61.67,96.37,1.11,100,100,2.08,RU,1675563861
119,olafsvik,64.8945,-23.7142,38.82,97,100,35.3,IS,1675563862
120,kidal,18.4411,1.4078,65.66,11,75,10.63,ML,1675563645
121,brae,60.3964,-1.353,43.65,63,18,23.4,GB,1675563863
122,sorong,-0.8833,131.25,78.48,85,100,4.83,ID,1675563863
123,okhotsk,59.3833,143.3,-10.82,79,52,11.79,RU,1675563864
124,camacha,33.0833,-16.3333,56.62,63,20,10.36,PT,1675563865
125,aswan,24.0934,32.907,51.1,37,0,6.91,EG,1675563826
126,marawi,7.9986,124.2928,77.88,62,100,1.83,PH,1675563866
127,yuci,37.6803,112.7319,33.55,32,0,2.24,CN,1675563867
128,constitucion,-35.3333,-72.4167,58.39,96,19,2.55,CL,1675563867
129,butaritari,3.0707,172.7902,81.16,81,88,18.41,KI,1675563869
130,korla,41.7597,86.1469,25.52,66,0,2.17,CN,1675563871
131,yangjiang,21.85,111.9667,66.2,84,100,5.5,CN,1675563873
132,nanortalik,60.1432,-45.2371,23.14,68,100,23.02,GL,1675563873
133,castro,-24.7911,-50.0119,62.06,94,100,5.19,BR,1675563590
134,narsaq,60.9167,-46.05,23.22,87,97,8.81,GL,1675563874
135,chifeng,42.2683,118.9636,26.78,31,100,5.03,CN,1675563822
136,portland,45.5234,-122.6762,48.81,87,100,4.0,US,1675563806
137,thohoyandou,-22.9456,30.485,63.5,84,5,4.52,ZA,1675563875
138,ust-omchug,61.15,149.6333,-19.53,96,92,4.09,RU,1675563876
139,victoria,22.2855,114.1577,66.96,83,100,11.01,HK,1675563776
140,popondetta,-8.7537,148.2534,88.29,62,59,5.61,PG,1675563877
141,tiznit,29.5833,-9.5,50.54,35,45,4.47,MA,1675563877
142,chandrakona,22.7333,87.5167,63.23,33,77,4.18,IN,1675563878
143,tessalit,20.1986,1.0114,58.19,17,28,9.69,ML,1675563878
144,shache,38.4167,77.2406,21.13,85,36,5.86,CN,1675563879
145,severo-kurilsk,50.6789,156.125,28.69,70,99,6.73,RU,1675563589
146,katherine,-14.4667,132.2667,89.92,51,45,8.05,AU,1675563880
147,tabou,4.423,-7.3528,78.04,87,18,7.09,CI,1675563880
148,baruun-urt,46.6806,113.2792,1.44,84,16,1.39,MN,1675563881
149,mar del plata,-38.0023,-57.5575,66.94,77,0,4.0,AR,1675563881
150,hithadhoo,-0.6,73.0833,80.08,72,34,13.89,MV,1675563635
151,leningradskiy,69.3833,178.4167,-24.23,99,100,3.98,RU,1675563882
152,maniitsoq,65.4167,-52.9,2.23,83,100,9.19,GL,1675563883
153,taywarah,33.35,64.4167,19.36,79,92,4.65,AF,1675563883
154,opunake,-39.4556,173.8583,73.85,72,100,19.62,NZ,1675563884
155,nerchinskiy zavod,51.3088,119.61,-13.7,98,84,2.62,RU,1675563884
156,cabo san lucas,22.8909,-109.9124,70.9,64,0,3.44,MX,1675563699
157,clearwater,27.9659,-82.8001,66.9,65,0,11.5,US,1675563703
158,juba,4.8517,31.5825,73.94,33,78,3.53,SS,1675563886
159,gizo,-8.103,156.8419,82.99,76,88,9.55,SB,1675563886
160,ancud,-41.8697,-73.8203,59.02,90,59,2.84,CL,1675563887
161,saint-joseph,-21.3667,55.6167,75.58,82,99,9.19,RE,1675563887
162,mega,4.05,38.3,58.73,38,87,7.36,ET,1675563888
163,amnat charoen,15.9167,104.75,82.04,57,65,7.65,TH,1675563889
164,sola,-13.8833,167.55,80.38,86,100,30.65,VU,1675563634
165,sao filipe,14.8961,-24.4956,70.93,64,74,12.12,CV,1675563889
166,tuatapere,-46.1333,167.6833,64.47,95,100,1.05,NZ,1675563890
167,la union,-5.4,-80.75,77.05,65,89,6.96,PE,1675563891
168,naze,28.3667,129.4833,61.72,63,100,9.82,JP,1675563891
169,bengkulu,-3.8004,102.2655,79.02,78,98,4.72,ID,1675563892
170,poya,-21.35,165.15,88.68,66,89,7.38,NC,1675563821
171,hamilton,39.1834,-84.5333,43.81,50,100,12.66,US,1675563893
172,port augusta,-32.5,137.7667,78.4,31,0,4.88,AU,1675563893
173,dakar,14.6937,-17.4441,68.88,82,0,4.61,SN,1675563634
174,mayumba,-3.432,10.6554,75.94,91,100,3.96,GA,1675563894
175,auki,-8.7676,160.7034,80.13,88,99,8.14,SB,1675563894
176,banamba,13.55,-7.45,66.92,15,34,9.91,ML,1675563895
177,paita,-5.0892,-81.1144,74.05,80,65,5.03,PE,1675563895
178,mount gambier,-37.8333,140.7667,62.92,58,100,5.41,AU,1675563896
179,ryki,51.6257,21.9327,25.05,92,41,9.78,PL,1675563896
180,zhelyabovka,45.3988,34.7578,35.82,97,100,10.98,UA,1675563897
181,berlevag,70.8578,29.0864,17.6,73,96,8.05,NO,1675563898
182,sheridan,44.8333,-106.9173,30.02,75,0,4.61,US,1675563898
183,ambunti,-4.2365,142.8448,84.38,67,100,4.23,PG,1675563899
184,sao gabriel,-30.3364,-54.32,65.35,43,0,7.38,BR,1675563899
185,thompson,55.7435,-97.8558,-9.24,77,100,2.3,CA,1675563681
186,deputatskiy,69.3,139.9,-29.4,99,99,2.55,RU,1675563900
187,cairns,-16.9167,145.7667,85.1,90,75,2.3,AU,1675563901
188,vila franca do campo,37.7167,-25.4333,57.61,86,1,6.73,PT,1675563901
189,sayyan,15.1718,44.3244,50.47,53,91,2.59,YE,1675563904
190,dunedin,-45.8742,170.5036,69.8,84,100,8.01,NZ,1675563882
191,ajdabiya,30.7554,20.2263,54.59,67,100,6.13,LY,1675563907
192,mogadishu,2.0371,45.3438,75.33,74,5,19.93,SO,1675563693
193,izumo,35.3667,132.7667,44.49,53,20,2.3,JP,1675563910
194,salalah,17.0151,54.0924,69.89,78,20,5.75,OM,1675563762
195,komsomolskiy,40.4272,71.7189,38.12,87,100,6.91,UZ,1675563912
196,kavaratti,10.5669,72.642,81.14,66,7,2.37,IN,1675563912
197,nome,64.5011,-165.4064,15.87,79,100,8.05,US,1675563913
198,victor harbor,-35.5667,138.6167,75.69,60,34,1.01,AU,1675563913
199,sovetskiy,61.3614,63.5842,3.74,97,100,1.12,RU,1675563914
200,taoudenni,22.6783,-3.9836,56.05,45,100,12.1,ML,1675563916
201,albania,41.0,20.0,33.98,70,32,7.14,AL,1675563916
202,ghanzi,-21.5667,21.7833,69.98,84,100,4.61,BW,1675563706
203,odweyne,9.4092,45.064,60.15,26,24,7.56,SO,1675563917
204,udachnyy,66.4167,112.4,-48.26,100,63,1.52,RU,1675563664
205,rocha,-34.4833,-54.3333,66.78,90,100,17.6,UY,1675563918
206,monrovia,6.3005,-10.7969,76.77,90,98,5.77,LR,1675563919
207,jiaonan,35.8786,119.9753,41.76,54,0,10.16,CN,1675563920
208,bjornevatn,69.6672,29.9847,17.22,85,100,5.75,NO,1675563921
209,juneau,58.3019,-134.4197,34.21,94,100,3.44,US,1675563924
210,port hedland,-20.3167,118.5667,96.85,38,9,12.66,AU,1675563927
211,padang,-0.9492,100.3543,75.25,94,100,1.32,ID,1675563928
212,isangel,-19.55,169.2667,85.71,75,100,13.09,VU,1675563770
213,amapa,1.0,-52.0,71.8,99,100,1.28,BR,1675563929
214,bredasdorp,-34.5322,20.0403,71.24,81,88,6.55,ZA,1675563639
215,muli,2.9167,73.5667,79.74,70,82,1.25,MV,1675563930
216,okato,-39.2,173.8833,72.91,85,100,25.01,NZ,1675563931
217,asau,46.4333,26.4,24.28,88,100,8.66,RO,1675563931
218,beloha,-25.1667,45.05,72.1,82,100,12.08,MG,1675563777
219,russell,32.3502,-85.1999,49.28,70,75,3.44,US,1675563932
220,nemuro,43.3236,145.575,23.49,60,8,4.47,JP,1675563933
221,vostok,46.4856,135.8833,9.1,84,99,4.81,RU,1675563933
222,lagoa,39.05,-27.9833,59.2,88,86,21.54,PT,1675563934
223,vanimo,-2.6741,141.3028,86.65,63,100,2.01,PG,1675563934
224,bitung,1.4451,125.1824,83.25,76,100,6.53,ID,1675563935
225,mehamn,71.0357,27.8492,17.55,86,93,14.97,NO,1675563935
226,kaitangata,-46.2817,169.8464,69.8,74,100,2.21,NZ,1675563638
227,hurghada,27.2574,33.8129,51.84,54,0,5.75,EG,1675563936
228,tondano,1.3038,124.9112,75.29,77,100,2.04,ID,1675563937
229,burnie,-41.0667,145.9167,71.73,44,0,10.2,AU,1675563937
230,manali,13.1667,80.2667,73.49,73,12,5.01,IN,1675563938
231,blackpool,53.8167,-3.05,42.89,76,28,12.55,GB,1675563639
232,libenge,3.65,18.6333,70.18,33,57,1.88,CD,1675563938
233,aranos,-24.1333,19.1167,75.92,53,100,9.31,NA,1675563939
234,coihaique,-45.5752,-72.0662,71.55,53,0,2.3,CL,1675563735
235,silute,55.3489,21.4831,26.17,80,8,5.73,LT,1675563940
236,longyearbyen,78.2186,15.6401,17.44,57,0,27.63,SJ,1675563940
237,katsuura,35.1333,140.3,49.66,57,42,15.48,JP,1675563941
238,east london,-33.0153,27.9116,74.59,79,100,12.91,ZA,1675563941
239,huarmey,-10.0681,-78.1522,72.16,82,100,6.49,PE,1675563942
240,daru,-9.0763,143.2092,77.27,91,100,9.01,PG,1675563942
241,chuy,-33.6971,-53.4616,66.97,92,98,17.98,UY,1675563943
242,muros,42.7762,-9.0603,44.83,83,1,10.38,ES,1675563943
243,eyl,7.9803,49.8164,70.75,76,100,12.12,SO,1675563944
244,tazovskiy,67.4667,78.7,10.58,96,100,3.69,RU,1675563945
245,nuuk,64.1835,-51.7216,-1.48,70,100,10.47,GL,1675563946
246,half moon bay,37.4636,-122.4286,59.05,90,100,25.32,US,1675563717
247,aklavik,68.2191,-135.0107,-42.18,100,33,2.77,CA,1675563947
248,sinnamary,5.3833,-52.95,77.04,87,100,14.9,GF,1675563947
249,abu samrah,35.3029,37.1841,38.84,94,92,2.84,SY,1675563948
250,paamiut,61.994,-49.6678,14.0,89,91,11.32,GL,1675563698
251,zhangye,38.9342,100.4517,27.18,43,62,0.51,CN,1675563948
252,santa vitoria do palmar,-33.5189,-53.3681,66.45,93,94,16.8,BR,1675563949
